index,detail_url,dress_id,image_url_high_res,item_title,price
553,http://www.modcloth.com/shop/dresses/enchanting-romantic-wedding-dress-in-ivory-floral,553,http://productshots2.modcloth.net/productshots/0169/3247/d40356e446f600bad1532b42a74ba8f2.jpg?1461952580,Dresses - Enchanting Romantic Wedding Dress in Ivory Floral,$285.00
554,http://www.modcloth.com/shop/dresses/afternoon-outing-dress,554,http://productshots1.modcloth.net/productshots/0170/0157/9a8ee111b407331ba2355a968237ce20.jpg?1463606492,Dresses - Afternoon Outing Dress,$54.99
555,http://www.modcloth.com/shop/dresses/abiding-beauty-dress-in-black,555,http://productshots3.modcloth.net/productshots/0170/3563/37ba221b031989d528c7de8eff47f23a.jpg?1464381731,Dresses - Abiding Beauty Dress in Black,$59.99
556,http://www.modcloth.com/shop/dresses/luck-be-a-lady-dress-in-black-and-red,556,http://productshots3.modcloth.net/productshots/0170/3557/95c5980ba0e1c3606ded86b512c56be1.jpg?1464381719,Dresses - Luck Be a Lady Dress in Black and Red,$79.99
557,http://www.modcloth.com/shop/dresses/reverie-moment-with-you-wedding-dress-in-ivory,557,http://productshots0.modcloth.net/productshots/0169/3253/6774f7d6555c150f32d89c4b96fe5941.jpg?1461952585,Dresses - Reverie Moment With You Wedding Dress in Ivory,$600.00
558,http://www.modcloth.com/shop/dresses/happy-as-a-clambake-dress-in-navy,558,http://productshots1.modcloth.net/productshots/0170/3931/54076cfbc565be54dd259514ba682d44.jpg?1464716276,Dresses - Happy as a Clambake Dress in Navy,$64.99
559,http://www.modcloth.com/shop/dresses/you-ve-got-a-friend-in-glee-dress-in-crimson,559,http://productshots1.modcloth.net/productshots/0165/2917/04edf340b2925935b3b63b6d93e3e9ec.jpg?1451494618,Dresses - You've Got a Friend in Glee Dress in Crimson,$59.99
560,http://www.modcloth.com/shop/dresses/the-finest-frontier-dress,560,http://productshots1.modcloth.net/productshots/0169/7895/60e76cac5e0ad16356a74925b19c9a02.jpg?1463069853,Dresses - The Finest Frontier Dress,$79.99
561,http://www.modcloth.com/shop/dresses/display-it-with-sweets-wedding-dress-in-ivory,561,http://productshots2.modcloth.net/productshots/0171/0737/a6315ac5d6477c60c36a72ef3aabcbc1.jpg?1466544295,Dresses - Display It With Sweets Wedding Dress in Ivory,$175.00
562,http://www.modcloth.com/shop/dresses/all-aisles-on-you-wedding-dress-in-champagne,562,http://productshots2.modcloth.net/productshots/0172/7483/9711f3276d6ed25aaff24ad35fdf44e5.jpg?1470268111,Dresses - All Aisles on You Wedding Dress in Champagne,$250.00
563,http://www.modcloth.com/shop/dresses/look-on-the-bridesmaid-side-dress-in-emerald,563,http://productshots2.modcloth.net/productshots/0170/2445/91b5a122f2d7e9e1a642f6ffc99290a9.jpg?1464126996,Dresses - Look on the Bridesmaid Side Dress in Emerald,$150.00
564,http://www.modcloth.com/shop/dresses/it-s-an-inspired-taste-dress-in-sage,564,http://productshots3.modcloth.net/productshots/0170/5987/07136350857cf9efbba49281587b78d0.jpg?1465317501,Dresses - It's an Inspired Taste Dress in Sage,$99.99
565,http://www.modcloth.com/shop/dresses/look-on-the-bride-side-wedding-dress-in-ivory,565,http://productshots1.modcloth.net/productshots/0171/0589/1d1463a7efe299235fe8aca6c2730d75.jpg?1466541182,Dresses - Look on the Bride Side Wedding Dress in Ivory,$150.00
566,http://www.modcloth.com/shop/dresses/a-gliding-light-wedding-dress-in-ivory,566,http://productshots0.modcloth.net/productshots/0169/2651/106b2adef8907ddb565a801e38ec3fe5.jpg?1461855506,Dresses - A Gliding Light Wedding Dress in Ivory,$300.00
567,http://www.modcloth.com/shop/dresses/muster-the-length-maxi-dress,567,http://productshots1.modcloth.net/productshots/0170/5929/48af940fa2eeb5322a4462ec82a7767c.jpg?1465246124,Dresses - Muster the Length Maxi Dress,$119.99
568,http://www.modcloth.com/shop/dresses/a-question-of-timeless-wedding-dress-in-white,568,http://productshots2.modcloth.net/productshots/0171/0673/291cddc5d6087d1f227e6f1479f7c21b.jpg?1466544054,Dresses - A Question of Timeless Wedding Dress in White,$425.00
569,http://www.modcloth.com/shop/dresses/record-time-dress-in-black,569,http://productshots1.modcloth.net/productshots/0170/5357/b653ad8f1d26122c0dc8c1533ab660df.jpg?1464981961,Dresses - Record Time Dress in Black,$59.99
570,http://www.modcloth.com/shop/dresses/cordially-delighted-dress,570,http://productshots1.modcloth.net/productshots/0166/5583/aae9f2f5112ca6c1ad755a7407fea72d.jpg?1455314818,Dresses - Cordially Delighted Dress,$150.00
571,http://www.modcloth.com/shop/dresses/outgoing-places-dress,571,http://productshots3.modcloth.net/productshots/0169/3731/8ba021f33b6b61b25be936640b46e9e8.jpg?1462207345,Dresses - Outgoing Places Dress,$59.99
572,http://www.modcloth.com/shop/dresses/cast-an-elegance-wedding-dress-in-ivory,572,http://productshots0.modcloth.net/productshots/0168/5375/278a924f62850671f5a11c2e71532c27.jpg?1459893709,Dresses - Cast an Elegance Wedding Dress in Ivory,$150.00
573,http://www.modcloth.com/shop/dresses/you-re-flowing-places-maxi-dress-in-navy-blooms,573,http://productshots2.modcloth.net/productshots/0170/5977/5a66b4885b2f9c20d5e27506d5dfbfa5.jpg?1465316645,Dresses - You're Flowing Places Maxi Dress in Navy Blooms,$139.99
574,http://www.modcloth.com/shop/dresses/enchants-encounter-wedding-dress-in-peach,574,http://productshots1.modcloth.net/productshots/0168/7279/a7204703974a0670252774bdae2ae829.jpg?1460144463,Dresses - Enchants Encounter Wedding Dress in Peach,$175.00
575,http://www.modcloth.com/shop/dresses/let-it-betrothed-wedding-dress-in-white,575,http://productshots1.modcloth.net/productshots/0171/0833/14512c1ccb970c4ff65a0c7a412337f9.jpg?1466544719,Dresses - Let It Betrothed Wedding Dress in White,$125.00
